category,subcategory,title_summary,result,result_description,min,max,color
ПРОДУКТ,,Сводный отчет по категории «Продукт»,Бизнес-модель не сформирована. Отсутствие структуры мешает росту.,"На текущем этапе ваш бизнес существует в хаотичном режиме. 
Нет четкой продуктовой линейки, предложения разрозненны и не связаны логически. 
Клиенты не понимают, что именно вы продаете, чем ваш продукт уникален и как он решает их задачи. 
Личный бренд либо отсутствует, либо не играет роли в привлечении клиентов. 
Финансовая модель непрозрачна – доход нестабилен, стратегии ценообразования нет, механизмы монетизации не работают.

Основные риски:
•        Клиенты не воспринимают вас как эксперта, что снижает доверие.
•        Бизнес не масштабируем, так как нет системы переходов клиентов между продуктами.
•        Отсутствие четкой ценовой политики приводит к непредсказуемости доходов.
•        Высокая зависимость от случайных продаж, что мешает долгосрочному росту.


",0,20,#eb2f06
ПРОДУКТ,,Сводный отчет по категории «Продукт»,Бизнес на стадии становления. Слабая системность ограничивает развитие.,"Ваш бизнес уже предлагает несколько продуктов, но отсутствует четкая стратегия их взаимосвязи и продвижения. 
Клиенты совершают покупки хаотично, и процесс перехода между уровнями линейки не продуман. 
Личный бренд существует, но пока не является полноценным активом. 
Финансовая модель формируется, но нет системного анализа доходов и тестирования ценовых стратегий.

Основные проблемы:
•        Клиенты не видят в продукте последовательного решения их проблем.
•        Личный бренд не конвертируется в новые сделки.
•        Ценообразование не адаптировано под рыночные реалии, возможны ошибки в расчетах прибыльности.
•        Продукты продаются без четкой системы апселов и увеличения LTV.

Чтобы выйти на новый уровень, необходимо формализовать стратегию продаж, пересмотреть ценность продуктов и усилить личный бренд через контент и экспертные площадки.",21,35,#f6b93b
ПРОДУКТ,,Сводный отчет по категории «Продукт»,Бизнес на стадии становления. Есть потенциал который не используется.,"Выстроена первичная система, есть линейка продуктов, а ваш бренд уже узнаваем в определенных кругах. 
Однако нет четко прописанных стратегий масштабирования, монетизация работает неэффективно, и вы теряете прибыль из-за неоптимального ценообразования. 
Клиенты воспринимают ваш продукт, но не видят достаточной ценности для долгосрочного сотрудничества.

Основные барьеры:
•        УТП не дифференцирует вас от конкурентов.
•        Бренд работает на определенную аудиторию, но охват ограничен.
•        Доходность бизнеса нестабильна из-за отсутствия гибких ценовых стратегий.
•        Слабый уровень аналитики: вы не всегда понимаете, какие продукты приносят наибольшую прибыль.

Этот уровень требует доработки позиционирования, усиления финансового контроля и внедрения системного подхода к развитию линейки и маркетинга.",36,49,#fad390
ПРОДУКТ,,Сводный отчет по категории «Продукт»,Сильная бизнес-модель. Не хватает гибкости и масштабируемости.,"Ваш продуктовый портфель сбалансирован, а личный бренд уже активно работает на вас. 
Клиенты доверяют вам, бизнес приносит предсказуемый доход. 
Однако остаются точки роста – недооценены механизмы монетизации, ограничена вариативность предложений, а стратегия масштабирования не реализована в полной мере.

Что сдерживает рост:
•        Отсутствие гибкости в форматах (групповые программы, подписки, корпоративные решения).
•        Недостаточное использование персонализированных продуктов и премиум-оферов.
•        Ограниченная стратегия роста: нет экспансии на новые сегменты аудитории.
•        Бренд работает, но не достигает максимальной вовлеченности в медиа.

Фокус на этом этапе – усиление индивидуальных предложений, внедрение стратегий повторных продаж и создание инфраструктуры для расширения бизнеса.",50,74,#b8e994
ПРОДУКТ,,Сводный отчет по категории «Продукт»,Успешная бизнес-модель. Фокус на поддержание динамики роста.,"Ваш бизнес стабилен и устойчив. 
Продукты выстроены в логичную последовательность, личный бренд является вашим сильным активом, а система монетизации предсказуемая и прибыльная. 
Однако конкуренция не стоит на месте, а клиенты ждут новых решений и ценностей.

Зоны роста:
•        Гибкость и адаптация к изменениям рынка – важно не потерять актуальность.
•        Диверсификация источников дохода (международные рынки, новые ниши, совместные проекты).
•        Усиление стратегического PR и укрепление экспертного влияния.
•        Масштабирование через новые технологии (автоматизация, искусственный интеллект).

На этом этапе главная задача – не потерять динамику, тестировать инновационные модели монетизации и развивать новые направления.",75,89,#78e08f
ПРОДУКТ,,Сводный отчет по категории «Продукт»,Эталонная бизнес-модель. Близкая к максимальной эффективность управления.,"Ваш бизнес выстроен идеально: у вас четкая продуктовая стратегия, сильный личный бренд, а финансовая модель устойчива даже в условиях рыночных колебаний. 
Вы не просто продаете услуги – вы формируете индустриальные стандарты и влияете на рынок.

Фокус на будущем:
•        Выход на глобальные рынки и создание международного бренда.
•        Долгосрочные инвестиции в развитие новых направлений.
•        Усиление роли лидера мнений через менторство, консалтинг и амбассадорство.
•        Оптимизация бизнес-процессов для максимального роста и автоматизации.

На этом уровне бизнес должен ориентироваться не только на стабильную прибыль, но и на стратегическое развитие, расширение влияния и закрепление лидерских позиций.",90,100,#009432
ПРОДУКТ,Продуктовая линейка,,Отсутствие системного подхода. Слабая структура продукта.,"Продуктовая линейка фрагментирована или вовсе отсутствует как единая концепция. 
Продукты создаются хаотично, без четкой структуры и логики переходов между ними.
Ролевая модель (лид-магнит, трипвайер, основной продукт) не сформирована, что приводит к потере клиентов на разных этапах взаимодействия. 
Уникальные торговые предложения (УТП) не разработаны или не демонстрируют конкурентных преимуществ. 
Обратная связь от клиентов не анализируется, обновление продуктов не производится, что снижает их актуальность и конкурентоспособность.
",0,20,#eb2f06
ПРОДУКТ,Продуктовая линейка,,"Первичные наработки продуктовой линейки, слабая стратегия.","Есть несколько оформленных продуктов, но отсутствует целостная линейка с четкими переходами между уровнями вовлеченности клиента. 
Некоторые продукты могут быть проработаны, но связки между ними не оптимизированы. 
Роль каждого продукта в общей системе не всегда ясна, что снижает эффективность монетизации. 
УТП сформулированы частично, но не всегда отражают ключевые потребности клиентов. 
Обратная связь клиентов учитывается точечно, без стратегического пересмотра продуктовой линейки.
",21,35,#f6b93b
ПРОДУКТ,Продуктовая линейка,,"Базовый уровень, необходимы системные доработки.","Продукты структурированы, но логика их развития требует доработки. 
Некоторые сегменты клиентов остаются без релевантных предложений. 
Ролевая модель продуктовой воронки частично реализована, но нуждается в улучшении для максимального вовлечения клиентов. Конкурентоспособные 
УТП сформированы, но требуют усиления через тестирование и доработку. 
Анализ обратной связи клиентов ведется, но не всегда приводит к изменениям в продуктовой линейке.
",36,49,#fad390
ПРОДУКТ,Продуктовая линейка,,Устойчивая продуктовая стратегия. Есть возможности для оптимизации и развития.,"Продуктовая линейка сбалансирована, охватывает разные сегменты аудитории и содержит проработанные точки входа и перехода. 
Все ключевые элементы (лид-магнит, трипвайер, основной продукт, Upsell, Cross-sell) присутствуют, но могут требовать улучшения в логике переходов. 
УТП каждого продукта ясны и конкурентоспособны. 
Анализ обратной связи клиентов ведется регулярно, вносятся изменения. 
Необходима более глубокая адаптации под рыночные тренды.
",50,74,#b8e994
